# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 16:40:09 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_trandur:     Transit Duration [hours]
#
pl_name,pl_orbper,pl_rade,pl_trandur
55 Cnc e,0.73654740,1.875,
AU Mic b,8.46299910,,
AU Mic c,18.85899100,,
BD+20 594 b,41.68550000,2.578,
BD-14 3065 b,4.28897310,21.590,3.0860000
BD-17 63 b,655.57000000,,
CoRoT-1 b,1.50895570,16.700,
CoRoT-10 b,13.24060000,10.870,2.9800000
CoRoT-11 b,2.99433000,16.030,2.5009000
CoRoT-12 b,2.82804200,16.140,2.5742400
CoRoT-13 b,4.03519000,9.920,3.1400000
CoRoT-14 b,1.51214000,12.220,1.6620000
CoRoT-16 b,5.35227000,13.110,2.3900000
CoRoT-17 b,3.76810000,11.430,4.7200100
CoRoT-18 b,1.90006930,14.680,2.3870000
CoRoT-19 b,3.89713000,14.460,4.7000000
CoRoT-2 b,1.74299350,16.432,2.2670400
CoRoT-20 b,9.24285000,,
CoRoT-21 b,2.72474000,14.572,4.7600000
CoRoT-22 b,9.75598000,4.880,4.4920000
CoRoT-23 b,3.63130000,11.770,3.8880000
CoRoT-24 b,5.11340000,3.700,2.8500000
CoRoT-24 c,11.75900000,5.000,4.8000000
CoRoT-25 b,4.86069000,12.110,1.9200000
CoRoT-26 b,4.20474000,14.120,5.4700000
CoRoT-27 b,3.57532000,11.287,2.7700000
CoRoT-28 b,5.20851000,10.705,5.7000000
CoRoT-29 b,2.85057000,10.088,2.1900000
CoRoT-3 b,4.25680000,11.320,
CoRoT-30 b,9.06005000,11.310,
CoRoT-31 b,4.62941000,16.365,
CoRoT-35 b,3.22748000,18.831,4.1900000
CoRoT-36 b,5.61653100,15.805,4.9800000
CoRoT-4 b,9.20205000,13.340,
CoRoT-5 b,4.03789620,15.558,
CoRoT-6 b,8.88659300,13.068,4.0800000
CoRoT-7 b,0.85359163,1.681,
CoRoT-8 b,6.21229000,6.390,2.7400000
CoRoT-9 b,95.27265600,11.949,8.2680000
CoRoTID 223977153 b,6.71837000,6.389,2.4960000
DS Tuc A b,8.13826800,5.700,3.1764000
EPIC 201170410.02,6.79870000,1.047,
EPIC 201238110 b,28.16560000,1.870,
EPIC 201427007 b,0.72091000,1.500,
EPIC 201497682 b,2.13174000,0.692,
EPIC 201595106 b,0.87721400,1.300,
EPIC 201615463 c,3.80464000,1.220,
EPIC 201754305 d,2.71578000,1.030,
EPIC 201757695.02,2.04780000,0.908,
EPIC 201833600 c,3.96151000,1.000,
EPIC 201841433 b,4.16980000,1.040,
EPIC 205950854 c,8.05072200,1.310,
EPIC 206024342 b,4.50756000,1.700,
EPIC 206024342 c,0.91172400,1.400,
EPIC 206024342 d,14.64753100,2.600,
