# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 16:20:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
# CONSTRAINT:  order by pl_name asc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_rade,pl_masse,pl_eqt,sy_dist
11 Com b,11 Com,2,1,0,Radial Velocity,323.21000000,,,,93.1846000
11 UMi b,11 UMi,1,1,0,Radial Velocity,516.21997000,,,,125.3210000
14 And b,14 And,1,1,0,Radial Velocity,186.76000000,,,,75.4392000
14 Her b,14 Her,1,2,0,Radial Velocity,1765.03890000,,2559.47216,,17.9323000
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,798.50000000,,,,21.1397000
17 Sco b,17 Sco,1,1,0,Radial Velocity,578.38000000,,,,124.9530000
18 Del b,18 Del,2,1,0,Radial Velocity,982.85000000,,,,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,,,3000.00000,1700,139.1350000
24 Boo b,24 Boo,1,1,0,Radial Velocity,30.33000000,,,,95.9863000
24 Sex b,24 Sex,1,2,0,Radial Velocity,452.80000000,,,,72.0691000
24 Sex c,24 Sex,1,2,0,Radial Velocity,883.00000000,,,,72.0691000
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,,,1271.31363,1450,128.4840000
